SSID: CMCC-EDU-2, BSSID: 36:02:86:83:b7:29, capabilities: [WPA2-PSK-CCMP][ESS], level: -33, frequency: 2412, timestamp: 40507541599, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-1X9, BSSID: 0e:08:d2:e0:11:e2, capabilities: [ESS], level: -81, frequency: 2462, timestamp: 40507541778, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-1X9, BSSID: 0e:08:d2:e0:13:e6, capabilities: [ESS], level: -60, frequency: 2462, timestamp: 40507541644, distance: ?(cm), distanceSd: ?(cm)
SSID: WLAN-CQUPT, BSSID: 0c:da:41:28:82:21, capabilities: [ESS], level: -86, frequency: 2412, timestamp: 40507541836, distance: ?(cm), distanceSd: ?(cm)
SSID: WLAN-CQUPT-MOBILE, BSSID: 0c:da:41:23:de:02, capabilities: [ESS], level: -77, frequency: 2412, timestamp: 40507541697, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-FREEMM, BSSID: 0a:08:d2:e0:0f:ee, capabilities: [ESS], level: -78, frequency: 2437, timestamp: 40505284862, distance: ?(cm), distanceSd: ?(cm)
SSID: WLAN-CQUPT, BSSID: 0c:da:41:23:de:01, capabilities: [ESS], level: -77, frequency: 2412, timestamp: 40507541705, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-1X9, BSSID: 0e:08:d2:e0:14:81, capabilities: [ESS], level: -79, frequency: 2462, timestamp: 40507541741, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-EDU, BSSID: 06:08:d2:e0:11:e2, capabilities: [ESS], level: -81, frequency: 2462, timestamp: 40507541784, distance: ?(cm), distanceSd: ?(cm)
SSID: ChinaNet, BSSID: 0c:da:41:23:de:00, capabilities: [ESS], level: -77, frequency: 2412, timestamp: 40507541712, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-FREEMM, BSSID: 0a:08:d2:e0:11:e2, capabilities: [ESS], level: -79, frequency: 2462, timestamp: 40507541719, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-FREEMM, BSSID: 0a:08:d2:e0:1b:52, capabilities: [ESS], level: -83, frequency: 2412, timestamp: 40507541806, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-1X9, BSSID: 0a:08:d2:e6:05:fb, capabilities: [ESS], level: -83, frequency: 2462, timestamp: 40507541766, distance: ?(cm), distanceSd: ?(cm)
SSID: WLAN-CQUPT-MOBILE, BSSID: 0c:da:41:28:82:22, capabilities: [ESS], level: -87, frequency: 2412, timestamp: 40507541828, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-1X9, BSSID: 0e:08:d2:e0:1b:52, capabilities: [ESS], level: -85, frequency: 2412, timestamp: 40507541791, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-EDU, BSSID: 06:08:d2:e0:13:e6, capabilities: [ESS], level: -60, frequency: 2462, timestamp: 40507541651, distance: ?(cm), distanceSd: ?(cm)
SSID: CQUPT, BSSID: 0c:da:41:23:de:04, capabilities: [ESS], level: -77, frequency: 2412, timestamp: 40507541687, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-EDU, BSSID: 06:08:d2:e0:16:5f, capabilities: [ESS], level: -72, frequency: 2412, timestamp: 40507541680, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-1X9, BSSID: 0e:08:d2:e0:16:5f, capabilities: [ESS], level: -72, frequency: 2412, timestamp: 40507541663, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-FREEMM, BSSID: 0a:08:d2:e0:14:81, capabilities: [ESS], level: -79, frequency: 2462, timestamp: 40507541754, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-EDU, BSSID: 06:08:d2:e0:14:88, capabilities: [ESS], level: -78, frequency: 2462, timestamp: 40507541748, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-FREEMM, BSSID: 0a:08:d2:e0:13:e6, capabilities: [ESS], level: -61, frequency: 2462, timestamp: 40507541657, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-1X9, BSSID: 0e:08:d2:e0:14:88, capabilities: [ESS], level: -80, frequency: 2462, timestamp: 40507541725, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-FREEMM, BSSID: 0a:08:d2:e0:14:88, capabilities: [ESS], level: -77, frequency: 2462, timestamp: 40507541732, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-EDU, BSSID: 06:08:d2:e0:1b:52, capabilities: [ESS], level: -84, frequency: 2412, timestamp: 40507541821, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-EDU, BSSID: 06:08:d2:e0:14:81, capabilities: [ESS], level: -78, frequency: 2462, timestamp: 40507541759, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-FREEMM, BSSID: 0a:08:d2:e0:16:5f, capabilities: [ESS], level: -73, frequency: 2412, timestamp: 40507541672, distance: ?(cm), distanceSd: ?(cm)
SSID: WLAN-CQUPT-MOBILE, BSSID: 0c:da:41:23:db:92, capabilities: [ESS], level: -35, frequency: 2412, timestamp: 40507541626, distance: ?(cm), distanceSd: ?(cm)
SSID: CQUPT, BSSID: 0c:da:41:23:db:94, capabilities: [ESS], level: -35, frequency: 2412, timestamp: 40507541619, distance: ?(cm), distanceSd: ?(cm)
SSID: CMCC-EDU, BSSID: 00:08:d2:e6:05:fb, capabilities: [ESS], level: -85, frequency: 2462, timestamp: 40507541772, distance: ?(cm), distanceSd: ?(cm)
SSID: 411, BSSID: 56:fd:52:59:a1:0a, capabilities: [WPA2-PSK-CCMP][ESS], level: -92, frequency: 2412, timestamp: 40507541844, distance: ?(cm), distanceSd: ?(cm)
SSID: WLAN-CQUPT, BSSID: 0c:da:41:23:db:91, capabilities: [ESS], level: -35, frequency: 2412, timestamp: 40507541633, distance: ?(cm), distanceSd: ?(cm)
SSID: ChinaNet, BSSID: 0c:da:41:23:db:90, capabilities: [ESS], level: -35, frequency: 2412, timestamp: 40507541639, distance: ?(cm), distanceSd: ?(cm)
